True value,No.,Si,Ti,Al,Cr,Fe,Ca,Mg,Mn,Na,H2O (ppm)*
,1,1.866,0.012,0.232,0.001,0.26,0.83,0.787,0.007,0.024,850
,2,1.858,0.017,0.211,0.005,0.196,0.903,0.811,0.004,0.021,780
,3,1.843,0.014,0.269,0.006,0.193,0.854,0.812,0.004,0.023,944
,4,1.84,0.014,0.268,0.006,0.196,0.86,0.806,0.007,0.024,823
,5,1.838,0.014,0.263,0.005,0.187,0.871,0.819,0.005,0.021,974
,6,1.841,0.014,0.268,0.006,0.189,0.868,0.805,0.005,0.023,909
,7,1.916,0.011,0.13,0,0.268,0.822,0.842,0.008,0.025,544
,8,1.919,0.011,0.128,0,0.27,0.824,0.832,0.008,0.024,546
,9,1.875,0.025,0.19,0.005,0.199,0.865,0.826,0.005,0.025,271
,10,1.939,0.018,0.13,0.003,0.191,0.889,0.788,0.006,0.024,295
,11,1.933,0.017,0.13,0.003,0.186,0.87,0.829,0.005,0.021,204
,12,1.83,0.015,0.265,0.004,0.207,0.868,0.816,0.004,0.023,879
,13,1.83,0.014,0.273,0.005,0.235,0.861,0.78,0.007,0.024,1175
,14,1.923,0.013,0.1,0,0.272,0.821,0.87,0.008,0.018,199
,15,1.924,0.014,0.111,0,0.281,0.809,0.851,0.009,0.016,231
,16,1.899,0.007,0.161,0.007,0.184,0.828,0.91,0.005,0.017,429
,17,1.9,0.007,0.162,0.008,0.182,0.836,0.902,0.003,0.013,409
,18,1.876,0.007,0.195,0.006,0.176,0.855,0.884,0.002,0.026,608
,19,1.876,0.007,0.205,0.007,0.181,0.849,0.873,0.002,0.02,627
,20,1.877,0.007,0.209,0.007,0.181,0.841,0.874,0.001,0.024,627
,21,1.882,0.008,0.199,0.006,0.183,0.841,0.877,0.002,0.022,613
,22,1.881,0.008,0.194,0.006,0.179,0.847,0.881,0.003,0.022,518
,23,1.883,0.006,0.189,0.006,0.182,0.848,0.884,0.004,0.022,584
,24,1.883,0.007,0.193,0.006,0.175,0.856,0.877,0.004,0.019,537
,25,1.841,0.013,0.282,0.001,0.233,0.857,0.757,0.006,0.026,992
,26,1.824,0.013,0.295,0.001,0.23,0.862,0.773,0.004,0.028,1057
,27,1.811,0.015,0.301,0.001,0.241,0.862,0.776,0.005,0.025,1062
,28,1.845,0.012,0.268,0.001,0.229,0.852,0.786,0.005,0.024,792
,29,1.848,0.014,0.253,0.001,0.219,0.858,0.798,0.007,0.023,933
,30,1.85,0.014,0.252,0.001,0.227,0.868,0.781,0.006,0.02,532
,31,1.845,0.014,0.264,0.001,0.219,0.843,0.807,0.005,0.018,874
,32,1.885,0.011,0.208,0.013,0.179,0.861,0.824,0.004,0.019,553
,33,1.904,0.026,0.115,0.001,0.241,0.842,0.865,0.006,0.025,273
,34,1.864,0.022,0.172,0.004,0.199,0.9,0.849,0.005,0.024,321
,35,1.96,0.013,0.061,0.001,0.266,0.84,0.824,0.012,0.039,223
,36,1.956,0.014,0.062,0.001,0.258,0.842,0.84,0.011,0.031,194
,37,1.872,0.024,0.176,0.006,0.198,0.9,0.825,0.005,0.021,282
,38,1.882,0.021,0.175,0.005,0.187,0.894,0.83,0.006,0.019,205
,39,1.936,0.014,0.107,0.006,0.178,0.866,0.874,0.004,0.018,275
,40,1.926,0.014,0.107,0.004,0.17,0.884,0.884,0.005,0.018,258
,41,1.951,0.016,0.073,0.001,0.27,0.82,0.839,0.013,0.028,150
,42,1.903,0.018,0.152,0.001,0.251,0.843,0.817,0.007,0.023,432
,43,1.881,0.016,0.165,0.026,0.142,0.903,0.862,0.003,0.018,485
,44,1.94,0.011,0.103,0.017,0.12,0.91,0.878,0.003,0.015,404
,45,1.928,0.016,0.122,0.004,0.17,0.866,0.874,0.005,0.017,363
,46,1.851,0.026,0.217,0.012,0.176,0.898,0.815,0.003,0.022,373
,47,1.892,0.016,0.157,0.027,0.132,0.925,0.838,0.003,0.018,457
,48,1.871,0.022,0.183,0.008,0.186,0.904,0.822,0.003,0.023,492
,49,1.867,0.019,0.181,0.02,0.155,0.927,0.836,0.003,0.013,502
,50,1.865,0.019,0.217,0.01,0.153,0.921,0.805,0.003,0.018,97
,51,1.862,0.024,0.192,0.007,0.242,0.872,0.798,0.006,0.023,53
,52,1.866,0.021,0.212,0.02,0.198,0.904,0.761,0.004,0.022,87
,53,1.891,0.014,0.182,0.007,0.156,0.913,0.824,0.005,0.02,73
,54,1.884,0.013,0.172,0.006,0.172,0.909,0.845,0.005,0.016,75
,55,1.88,0.016,0.185,0.003,0.239,0.886,0.783,0.007,0.016,64
,56,1.835,0.021,0.257,0.017,0.161,0.92,0.782,0.005,0.016,119
,57,1.791,0.031,0.31,0.018,0.191,0.917,0.744,0.004,0.015,117
,58,1.901,0.012,0.157,0.002,0.191,0.887,0.846,0.002,0.017,680
,59,1.865,0.015,0.198,0.001,0.209,0.889,0.833,0.002,0.014,555
,60,1.894,0.012,0.155,0.001,0.201,0.886,0.856,0.002,0.017,584
,61,1.923,0.008,0.137,0.002,0.209,0.853,0.855,0.003,0.016,606
,62,1.896,0.013,0.156,0.001,0.2,0.87,0.867,0.003,0.016,566
,63,1.896,0.012,0.158,0.001,0.206,0.872,0.859,0.003,0.013,561
,64,1.939,0.005,0.08,0.016,0.141,0.849,0.971,0.001,0.016,283
,65,1.96,0.004,0.078,0.014,0.131,0.843,0.954,0.001,0.012,326
,66,1.951,0.004,0.079,0.013,0.125,0.851,0.968,0.002,0.013,342
,67,1.948,0.004,0.073,0.012,0.133,0.845,0.982,0.001,0.013,449
,68,1.938,0.004,0.086,0.016,0.127,0.857,0.971,0.001,0.013,367
,69,1.921,0.009,0.116,0.004,0.178,0.863,0.91,0.002,0.015,702
,70,1.841,0.017,0.231,0.002,0.211,0.896,0.815,0.001,0.02,626
,71,1.917,0.01,0.12,0.002,0.18,0.873,0.899,0.002,0.013,548
,72,1.882,0.011,0.169,0.002,0.197,0.897,0.854,0.001,0.012,560
,73,1.921,0.009,0.116,0.004,0.178,0.863,0.91,0.002,0.015,510
,74,1.877,0.021,0.189,0.001,0.237,0.835,0.834,0.005,0.017,486
,75,1.908,0.011,0.154,0.002,0.196,0.872,0.849,0.003,0.017,629
,76,1.895,0.014,0.178,0.001,0.205,0.859,0.838,0.003,0.017,717
,77,1.85,0.016,0.236,0.004,0.209,0.891,0.796,0.003,0.019,642
,78,1.845,0.017,0.222,0.004,0.213,0.885,0.828,0.003,0.017,649
,79,1.855,0.018,0.227,0.002,0.216,0.881,0.803,0.003,0.016,783
,80,1.887,0.012,0.179,0.001,0.21,0.865,0.845,0.003,0.019,595
,81,1.867,0.014,0.194,0.002,0.21,0.884,0.839,0.002,0.015,727
,82,1.929,0.007,0.119,0.004,0.19,0.829,0.916,0.004,0.011,330
,83,1.955,0.005,0.08,0.006,0.134,0.866,0.943,0.002,0.011,243
,84,1.9,0.009,0.135,0.01,0.17,0.887,0.898,0.002,0.015,522
,85,1.946,0.005,0.085,0.012,0.126,0.872,0.945,0.001,0.017,437
,86,1.947,0.005,0.081,0.005,0.136,0.868,0.956,0.001,0.013,384
,87,1.801,0.069,0.253,0.001,0.222,0.909,0.721,0.004,0.044,369
,88,1.786,0.07,0.277,0.001,0.23,0.915,0.696,0.005,0.048,386
